,Unnamed: 0,left_ht,left_age,left_ace,left_df,left_svpt,left_1stIn,left_1stWon,left_2ndWon,left_SvGms,left_bpSaved,left_bpFaced,left_rank,left_rank_points,right_ht,right_age,right_ace,right_df,right_svpt,right_1stIn,right_1stWon,right_2ndWon,right_SvGms,right_bpSaved,right_bpFaced,right_rank,right_rank_points,left_name,right_name,target,tourney_date,tourney_name
102075,972.0,183.0,20.37125256673454,2.834862385321101,3.6055045871559632,78.02752293577981,47.018348623853214,30.568807339449542,14.770642201834862,12.0,4.660550458715596,8.486238532110091,160.1909090909091,515.8727272727273,173.0,29.00292950034116,2.4914285714285715,3.337142857142857,76.71428571428571,51.245714285714286,33.011428571428574,12.337142857142856,11.891428571428571,4.148571428571429,7.748571428571428,106.30285714285715,475.1142857142857,Donald Young,Michael Russell,0,2012-07-09,Newport
94261,165.0,183.0,24.33534057787096,4.393526405451448,2.3867120954003407,80.42078364565587,50.89097103918228,35.427597955706986,15.959114139693357,12.592844974446336,4.255536626916525,6.7666098807495745,21.1123595505618,1950.513643659711,183.0,23.985215605740002,4.6,2.0,58.0,31.0,21.4,12.8,8.8,2.6,5.2,351.2,181.8,Juan Carlos Ferrero,Ivan Dodig,0,2010-01-18,Australian Open
98160,60.0,173.0,24.743512662558388,2.1607142857142856,4.446428571428571,82.35714285714286,43.142857142857146,28.5,18.321428571428573,12.267857142857142,5.3125,9.517857142857142,149.52,329.48,193.0,23.52599641973655,7.340314136125654,2.5445026178010473,71.69109947643979,42.92670157068063,31.031413612565444,13.643979057591624,11.13089005235602,4.010471204188482,6.607329842931938,55.46153846153846,1054.389423076923,Jean Rene Lisnard,Viktor Troicki,0,2011-04-10,Monte Carlo Masters
28239,209.0,183.0,23.88044718231667,3.5,0.8333333333333334,81.16666666666667,55.0,38.833333333333336,12.666666666666666,12.333333333333334,5.666666666666667,8.166666666666666,229.0,170.5,208.0,26.934089608509375,19.121739130434783,3.4347826086956523,86.6304347826087,56.417391304347824,46.52608695652174,15.721739130434782,14.004347826086956,2.8434782608695652,4.017391304347826,66.49590163934427,711.344262295082,Simon Stadler,Ivo Karlovic,1,2008-06-23,Wimbledon
52096,42.0,188.0,23.565360881628695,3.9609375,1.90625,75.5859375,45.8828125,31.3671875,14.8671875,11.84375,3.953125,7.0390625,73.88372093023256,758.5348837209302,178.0,28.15159581210002,2.4864864864864864,3.891891891891892,81.16216216216216,49.45945945945946,31.864864864864863,14.837837837837839,12.27027027027027,4.864864864864865,8.91891891891892,134.24074074074073,438.7962962962963,Pablo Carreno Busta,Adrian Ungur,1,2016-07-15,Davis Cup G1 R2: ESP vs ROU
66746,678.0,188.0,20.943874058875,1.4285714285714286,2.4285714285714284,77.14285714285714,49.714285714285715,33.57142857142857,13.142857142857142,11.428571428571429,4.714285714285714,7.571428571428571,221.625,171.25,190.0,26.342054193338825,8.313253012048193,4.9879518072289155,80.74698795180723,43.87951807228916,33.397590361445786,19.46987951807229,12.843373493975903,4.132530120481928,6.373493975903615,8.258823529411766,2030.4588235294118,Federico Luzzi,Thomas Enqvist,0,2001-04-23,Barcelona
60910,848.0,163.0,25.289540820499287,5.4525,3.4275,78.7125,45.9275,32.955,16.6975,12.3625,4.1425,6.855,31.906698564593302,1977.346889952153,,21.97594602522756,1.7959183673469388,1.8877551020408163,78.43877551020408,50.275510204081634,32.02040816326531,14.989795918367347,12.081632653061224,4.836734693877551,8.275510204081632,122.13265306122449,551.3571428571429,David Goffin,Yoshihito Nishioka,1,2019-08-12,Cincinnati Masters
31273,240.0,183.0,24.626533129711152,5.448170731707317,3.0396341463414633,81.16768292682927,48.89939024390244,34.076219512195124,16.01829268292683,12.439024390243903,4.439024390243903,7.329268292682927,63.78272980501393,740.9972144846797,188.0,18.9979466119,7.0,2.0,78.0,47.0,36.0,19.0,13.0,2.0,2.0,599.0,68.0,Jurgen Melzer,Guillaume Rufin,1,2009-05-25,Roland Garros
12473,459.0,188.0,28.03223197062727,4.190476190476191,7.666666666666667,77.47619047619048,42.61904761904762,29.666666666666668,14.952380952380953,11.666666666666666,5.857142857142857,9.476190476190476,105.81818181818181,376.09090909090907,,,,,,,,,,,,,,Julian Knowle,Ryan Henry,1,2003-01-13,Australian Open
68538,468.0,185.0,25.713894592742857,3.857142857142857,4.142857142857143,76.42857142857143,43.285714285714285,32.142857142857146,14.571428571428571,10.714285714285714,5.142857142857143,7.571428571428571,217.0,202.85714285714286,185.0,23.166172332511113,6.666666666666667,1.5555555555555556,68.11111111111111,41.55555555555556,30.11111111111111,12.777777777777779,10.444444444444445,2.6666666666666665,5.0,380.55555555555554,83.66666666666667,Dennis Van Scheppingen,Radek Stepanek,0,2002-04-29,Munich
